지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위)
108,서울,2021-03-28,9,7.7,643,13,138,15,,,,,9.2,10.9,180,357,6.4,200,402,3.3,2879,200
108,서울,2021-03-29,10.2,7.3,2357,14.6,1342,2.75,,,,,.2,11.2,270,1538,6.6,270,1541,3.3,2812,250
108,서울,2021-03-30,10.8,4.1,623,18.2,1548,,,,,,,8.1,290,1917,5.1,250,1827,2.2,1927,270
108,서울,2021-03-31,14.5,5.9,631,22.9,1535,,,,,,,6,270,2126,3.6,290,2124,1.8,1539,50
108,서울,2021-04-01,17.7,12,651,24,1614,,,,,,,12.4,50,2159,6.7,50,2153,3.5,3017,50
108,서울,2021-04-02,17.8,12.5,408,23,1506,.83,0,,0,,0,10.9,50,12,6.4,50,13,3.2,2779,70
108,서울,2021-04-03,14.9,10.9,2353,18,1,16.53,2.9,1131,11.5,1110,56.2,10.3,50,2159,6.3,50,2037,3.1,2657,50
108,서울,2021-04-04,11.9,9,2400,15.8,1337,5.75,.2,,.4,402,.6,9.7,50,107,5.2,50,112,3.2,2751,50
108,서울,2021-04-05,11.9,5.4,629,19.3,1614,,,,,,,9,270,1655,5.3,270,1704,2.4,2064,20
108,서울,2021-04-06,13.9,9.4,510,19.2,1343,,,,,,,9.5,200,1445,5.4,250,1653,2.5,2188,250
108,서울,2021-04-07,14.1,8.1,607,20.4,1335,,,,,,,11.1,250,1513,6.2,270,1623,2.5,2137,250
108,서울,2021-04-08,13,7.2,616,18,1516,,,,,,,10.6,320,1801,5.8,290,1611,2.7,2351,270
108,서울,2021-04-09,13.6,7.6,416,19.6,1558,,,,,,,10,20,849,5.8,50,848,2.7,2306,50
108,서울,2021-04-10,12.6,7.7,607,18.8,1459,,,,,,,8,250,1522,4.7,270,1531,2.6,2234,250
108,서울,2021-04-11,15,7.5,639,21.8,1610,,,,,,,6.4,270,1736,3.9,250,1713,1.7,1480,20
108,서울,2021-04-12,13.8,11.9,1703,17.8,1132,14.17,1.6,2316,5.4,1831,22,9.7,110,1317,4.8,140,1400,2.4,2036,70
108,서울,2021-04-13,10.4,5.7,2355,13.5,1343,6.75,.8,9,3,-2351,8,10.2,270,1721,5.7,250,1354,3.7,3183,270
108,서울,2021-04-14,8.4,3.1,544,13.3,1224,,,,,,,11.2,320,1342,6.9,270,1345,2.9,2484,270
108,서울,2021-04-15,11.6,6.3,313,18.3,1454,,,,,,,8.5,290,1639,4.7,270,1654,2.1,1774,270
108,서울,2021-04-16,11.3,8.1,2400,14.8,1602,3.5,.3,1113,.7,1057,.7,10.9,180,1719,5.7,200,1003,2.6,2274,200
108,서울,2021-04-17,9.6,6,611,14.6,1527,1.58,0,,0,,0,12.5,180,1242,7.1,290,1602,2.6,2221,230
108,서울,2021-04-18,9.9,5.6,607,15.3,1602,,,,,,,10.9,320,1355,5.7,250,1336,3.2,2722,250
108,서울,2021-04-19,12.2,5.8,542,19.4,1440,,,,,,,8.8,180,1335,4.9,200,1642,2.4,2093,200
108,서울,2021-04-20,14.8,8.1,614,22,1552,,,,,,,7.3,290,1811,4.5,270,1711,1.9,1626,270
108,서울,2021-04-21,19.1,10.3,601,28.2,1601,,,,,,,7,250,2055,4.3,250,2102,1.8,1580,270
108,서울,2021-04-22,20.9,16.1,251,27.5,1356,,,,,,,10,320,2218,5,50,942,2.5,2199,50
108,서울,2021-04-23,19,17,703,21.7,1350,4,0,,0,,0,11.3,50,1045,6.9,50,1412,3.2,2732,50
108,서울,2021-04-24,18.3,15.3,637,22.2,1540,.67,0,,0,,0,8.2,50,259,5.2,340,1431,2.7,2297,50
108,서울,2021-04-25,18.2,12.6,500,24,1645,,,,,,,11.3,70,735,5.6,50,748,2.7,2375,50
108,서울,2021-04-26,16.2,12.3,614,20.6,1408,,,,,,,8.5,200,1310,4.6,290,1651,2.6,2247,110
108,서울,2021-04-27,15.4,12.5,430,20,1427,4,2.2,2356,5.8,2331,1.7,9,200,2304,5,230,1835,2.3,2013,200
108,서울,2021-04-28,14.5,11.2,602,18.2,1419,1.33,1.4,9,4.7,1,4.7,9.7,180,49,4.8,230,57,2.4,2059,200
108,서울,2021-04-29,14.6,10.9,538,20.1,1609,4.33,1.2,2355,4.3,2313,3.9,11,180,2232,6.4,200,2235,2.3,1966,50
108,서울,2021-04-30,11.3,8.6,414,14.6,1227,9.75,1.8,332,8.9,245,26.3,8.5,160,1445,5.2,200,1449,2.4,2077,200
108,서울,2021-05-01,10.2,8.5,2326,15.3,1256,11.67,1.5,1424,5.3,1419,8,10.3,290,1418,6.3,320,1425,2.7,2360,270
108,서울,2021-05-02,12.4,7.3,602,18.7,1436,2.5,.4,110,1.2,24,1.7,9.3,290,1720,5.3,270,1740,3.1,2720,270
108,서울,2021-05-03,14.1,8.4,555,20.3,1520,,,,,,,8.6,270,1559,4.9,200,1348,2.1,1847,200
108,서울,2021-05-04,13.8,11.4,300,15.8,1915,16.25,1.5,1446,5.1,1436,19.6,9.3,290,2346,4.8,290,2149,2.1,1796,50
108,서울,2021-05-05,13.9,10.3,620,18.4,1509,.5,.1,,.4,-2331,.1,13.1,270,1417,6.7,250,1544,3.5,3003,250
108,서울,2021-05-06,15.7,7.9,538,23.1,1420,,,,,,,11.8,230,1612,6.5,230,1620,2.4,2081,50
108,서울,2021-05-07,14.4,10.7,2357,17.2,1505,1.5,5.9,942,8.8,915,8.8,12.6,200,1418,6.7,230,1352,3.4,2923,230
108,서울,2021-05-08,14.3,8.9,547,21,1437,,,,,,,15.4,180,1600,8.4,200,1557,3.4,2913,250
108,서울,2021-05-09,15.7,10,513,21.8,1551,,,,,,,14.3,270,1357,7.9,270,1037,3.5,3019,270
108,서울,2021-05-10,13.2,11.7,230,14.6,1716,3.08,0,,0,,0,6.7,200,507,4,200,513,1.8,1547,50
108,서울,2021-05-11,18.5,9.4,414,25.7,1514,,,,,,,10.5,140,2150,5,110,1704,2.7,2362,110
108,서울,2021-05-12,22,16.9,529,27.7,1626,,,,,,,6.9,50,819,3.7,50,824,2.2,1860,70
108,서울,2021-05-13,22.9,16.6,542,29.6,1459,,,,,,,7.2,200,1556,4.2,250,1807,1.9,1642,250
108,서울,2021-05-14,24.1,18,558,30.8,1541,,,,,,,7.4,250,1806,4.3,250,1811,1.7,1497,50
108,서울,2021-05-15,22.1,20.8,1911,26.2,1204,14,2.2,1338,5.8,1302,15,6.1,110,1110,3.6,110,1048,1.7,1432,50
108,서울,2021-05-16,18.4,14.8,2345,20.8,1,24,2.6,1912,11.3,1853,66.9,8.9,50,1730,4.4,180,724,2.5,2164,50
108,서울,2021-05-17,15.3,14.2,442,16.7,1815,13.83,.4,1118,1.7,1115,3.1,5.3,50,2,3.1,50,2,1.6,1362,50
108,서울,2021-05-18,17.9,13.6,403,24.5,1611,,,,,,,7.3,250,1659,4.5,270,1702,1.7,1509,270
108,서울,2021-05-19,19.9,12.4,557,26.6,1503,,,,,,,7.4,250,1539,4.4,250,1525,1.8,1553,270
108,서울,2021-05-20,18.7,15.6,2335,22.9,1252,11.15,.3,2011,.5,2219,.9,13,110,1629,6.2,90,1610,2.5,2135,50
108,서울,2021-05-21,16,14.2,637,18.2,1820,15.17,1.3,1444,2,1401,6.9,7.1,50,12,4.2,50,49,1.7,1503,290
108,서울,2021-05-22,18.6,13.8,531,23.8,1309,.92,.2,,.2,,.2,9.5,250,1505,6.2,270,1506,2.5,2161,250
108,서울,2021-05-23,19.5,14.3,521,25.1,1328,,,,,,,7.9,270,2024,4.8,270,2028,1.7,1461,270
108,서울,2021-05-24,19.4,16.4,536,24.5,1525,,,,,,,9.2,270,1655,5.6,270,1441,2.7,2331,250
108,서울,2021-05-25,15.3,11.9,854,19.3,1632,4.58,2.1,557,5.4,534,8.3,12.8,270,1450,7.4,250,1426,3.2,2763,250
108,서울,2021-05-26,18,11.5,513,23,1513,.67,0,,0,,0,13.1,200,1451,6.5,200,1518,2.9,2463,200
108,서울,2021-05-27,15.8,13.9,2301,18.7,1611,5.92,2.1,726,6.5,642,8.9,9.1,180,1644,5.2,230,1205,2.8,2457,200
108,서울,2021-05-28,15.3,12.4,844,19.7,1556,7.83,1.7,505,4.7,502,12.3,10.2,250,1748,5,230,1728,2.6,2266,250
108,서울,2021-05-29,15.4,12.8,2353,19.1,1017,8.42,.2,,.2,,.3,7.3,230,9,3.7,250,49,2.2,1867,50
108,서울,2021-05-30,18.4,10.8,540,26.3,1603,4,4,2249,11.3,2249,18.1,16,270,1923,7.6,270,1931,2.1,1822,50
108,서울,2021-05-31,19.9,16.5,417,23.8,1725,2.5,3.2,-2358,4.7,-2349,4,5.7,20,1619,3.5,50,1624,1.8,1587,50
108,서울,2021-06-01,20.2,15.9,811,23.9,1311,4.42,1.3,754,2.3,712,3.2,9,290,527,5.4,320,533,2.2,1863,50
108,서울,2021-06-02,23.2,16.6,453,29.7,1531,,,,,,,8.2,290,1827,4.5,290,1718,2.1,1842,50
108,서울,2021-06-03,19.1,14.6,2335,22.7,1143,12.17,2.5,2024,5.1,1944,18.1,14.3,340,2039,7.5,320,2041,1.8,1526,270
108,서울,2021-06-04,18.5,13.3,419,23.6,1530,,,,,,,10.4,230,1555,6,200,1556,2.9,2473,200
108,서울,2021-06-05,20.8,17,359,25.7,1524,,,,,,,9.9,200,1805,5.5,180,1757,3.3,2815,200
108,서울,2021-06-06,23,18.4,138,28.2,1529,,,,,,,7,230,240,3.8,200,249,2.2,1907,200
108,서울,2021-06-07,21.1,19.4,353,24,1734,3.58,0,,0,,0,6,110,1010,3.3,140,1011,1.7,1495,180
108,서울,2021-06-08,23.6,18.8,533,29.5,1539,.92,.1,,.1,,.1,6.6,290,1652,3.6,250,1630,1.7,1453,50
108,서울,2021-06-09,25.8,19.5,453,31.6,1525,,,,,,,5.7,90,1823,3.4,50,1824,1.6,1368,50
108,서울,2021-06-10,24.9,20.5,2349,29.8,1441,6.67,2,2318,5.1,2257,6.1,9,200,1456,5.4,200,1500,2.2,1919,50
108,서울,2021-06-11,21.5,19.9,50,24.4,1628,4.17,1,256,2.6,219,4.6,11.4,110,132,5.7,180,505,2.8,2460,230
108,서울,2021-06-12,24.2,18.2,444,30.2,1514,,,,,,,6.3,340,1731,3.9,320,1732,1.8,1576,270
108,서울,2021-06-13,24.8,20.9,513,29.7,1620,,,,,,,6.9,250,1500,4.3,250,1735,2,1756,250
108,서울,2021-06-14,24.8,18.9,609,30.2,1452,,,,,,,5.9,270,1521,4,250,2042,2.1,1792,250
108,서울,2021-06-15,22.5,21.5,523,25.3,1751,7.92,.3,1057,.9,1018,1.9,7.7,50,2235,3.9,50,1701,2.3,1997,50
